iter	Passed	Remaining
418	13133	2538
419	13160	2506
420	13194	2475
421	13222	2443
422	13248	2411
423	13272	2379
424	13306	2348
425	13342	2317
426	13373	2286
427	13404	2254
428	13436	2223
429	13464	2191
430	13496	2160
431	13519	2128
432	13548	2096
433	13581	2065
434	13610	2033
435	13639	2002
436	13661	1969
437	13690	1937
438	13718	1906
439	13746	1874
440	13776	1843
441	13806	1811
442	13845	1781
443	13873	1749
444	13901	1718
445	13930	1686
446	13962	1655
447	13988	1623
448	14016	1592
449	14041	1560
450	14053	1526
451	14065	1493
452	14077	1460
453	14101	1428
454	14128	1397
455	14162	1366
456	14196	1335
457	14225	1304
458	14255	1273
459	14289	1242
460	14333	1212
461	14370	1182
462	14401	1150
463	14437	1120
464	14463	1088
465	14499	1057
466	14524	1026
467	14550	994
468	14579	963
469	14609	932
470	14636	901
471	14663	869
472	14694	838
473	14722	807
474	14755	776
475	14788	745
476	14818	714
477	14848	683
478	14877	652
479	14900	620
480	14929	589
481	14958	558
482	14985	527
483	15017	496
484	15042	465
485	15069	434
486	15102	403
487	15131	372
488	15161	341
489	15194	310
490	15226	279
491	15257	248
492	15288	217
493	15316	186
494	15343	154
495	15370	123
496	15384	92
497	15394	61
498	15300	30
499	15422	0
